,funding_total_usd,status,state_code,region,funding_rounds,first_funding_at,last_funding_at,label,avg_time_between_rounds,avg_raised_amount_usd,industry,num_of_investors
0,33600000.0,operating,CA,SF Bay Area,4,2013-01-03,2015-11-09,1,346.0,8400000.0,Analytics,14.0
1,1150050.0,operating,CA,SF Bay Area,3,2011-07-20,2014-02-05,1,465.0,575025.0,Mobile,13.0
3,6795451.0,operating,MA,MA - Other,9,2009-10-14,2015-11-13,1,277.0,970778.7142857143,Curated_Web,13.0
5,794000.0,operating,RI,Providence,6,2012-02-06,2014-01-01,1,139.0,132333.33333333334,Technology,7.0
6,71450000.0,operating,MA,Boston,9,2008-03-27,2015-04-09,1,321.0,7938888.888888889,0_other_cat,19.0
7,3400000.0,operating,CA,SF Bay Area,3,2012-01-01,2014-10-02,1,502.0,1133333.3333333333,Software,14.0
8,2100000.0,operating,DC,"Washington, D.C.",3,2013-03-11,2015-04-10,1,380.0,700000.0,Health_and_Wellness,5.0
10,4000000.0,operating,CA,SF Bay Area,3,2013-07-02,2015-08-13,1,386.0,1333333.3333333333,Mobile,6.0
11,4345427.0,operating,MD,"Washington, D.C.",3,2012-09-25,2015-10-30,1,565.0,1448475.6666666667,Biotechnology,1.0
12,51507046.0,operating,GA,Atlanta,7,2010-08-05,2015-11-30,1,323.0,7358149.428571428,0_other_cat,9.0
17,37644420.0,operating,WA,Seattle,4,2011-12-06,2014-10-14,1,347.0,9411105.0,Enterprise_Software,5.0
18,25654560.0,operating,NY,New York City,5,2009-02-06,2012-07-19,1,314.0,5130912.0,Internet,17.0
21,9311190.0,operating,MD,"Washington, D.C.",4,2013-01-14,2015-07-07,1,301.0,2327797.5,Software,6.0
23,1880000.0,operating,CT,Hartford,4,2013-04-02,2015-07-23,1,280.0,626666.6666666666,0_other_cat,2.0
24,4247128.0,operating,UT,Salt Lake City,3,2014-04-06,2015-08-24,1,252.0,1415709.3333333333,0_other_cat,2.0
25,25920000.0,operating,VA,"Washington, D.C.",4,2010-01-29,2013-06-06,1,408.0,6480000.0,Software,2.0
26,1011601.0,operating,MA,Boston,3,2010-02-08,2011-10-21,1,310.0,337200.3333333333,Software,1.0
27,7063012.0,operating,CA,SF Bay Area,4,2011-08-31,2014-12-05,1,397.0,2354337.3333333335,Biotechnology,7.0
28,64567194.0,operating,CA,SF Bay Area,7,2006-01-17,2015-01-13,1,547.0,9223884.857142856,Security,13.0
29,2374979.0,operating,WA,WA - Other,6,2011-07-01,2015-03-09,1,269.0,474995.8,E-Commerce,9.0
31,49656999.0,operating,MA,Boston,5,2012-02-14,2015-06-19,1,305.0,9931399.8,Biotechnology,4.0
32,60000000.0,operating,PA,Pittsburgh,5,2005-06-17,2015-09-29,1,939.0,30000000.0,Hardware_+_Software,8.0
36,37143865.0,operating,NC,Raleigh,5,2010-08-23,2015-07-02,1,443.0,7428773.0,Enterprise_Software,3.0
38,32000000.0,operating,CA,SF Bay Area,3,2013-04-18,2015-02-19,1,336.0,16000000.0,0_other_cat,7.0
40,2450000.0,operating,FL,Ft. Lauderdale,5,2012-03-20,2014-06-08,1,202.0,612500.0,Analytics,6.0
41,16036000.0,operating,MA,Boston,6,2011-12-13,2015-06-26,1,258.0,2672666.6666666665,Clean_Technology,2.0
43,9850000.0,operating,OH,Akron - Canton,4,2011-01-01,2013-10-15,1,339.0,2462500.0,Web_Hosting,7.0
44,600000.0,operating,WI,Milwaukee,3,2010-01-01,2014-05-01,1,790.0,600000.0,0_other_cat,2.0
45,25000.0,operating,PA,Pittsburgh,3,2011-10-26,2013-02-06,1,234.0,25000.0,0_other_cat,3.0
46,2730000.0,operating,CA,SF Bay Area,3,2014-02-26,2015-08-31,1,275.0,910000.0,0_other_cat,3.0
47,5279980.0,operating,CA,SF Bay Area,3,2012-10-26,2015-06-11,1,479.0,1759993.3333333333,0_other_cat,6.0
48,29300000.0,operating,MA,Boston,4,2012-09-05,2015-05-06,1,324.0,7325000.0,0_other_cat,14.0
50,10450000.0,operating,CA,SF Bay Area,3,2011-01-08,2013-10-23,1,509.0,5225000.0,Mobile,15.0
51,7200000.0,operating,VA,"Washington, D.C.",3,2013-09-12,2015-02-27,1,266.0,2400000.0,SaaS,5.0
52,14300000.0,operating,CA,SF Bay Area,3,2005-07-01,2008-05-02,1,518.0,4766666.666666667,Mobile,2.0
56,12850000.0,operating,OH,Cleveland,3,2013-12-16,2015-07-28,1,294.0,4283333.333333333,Biotechnology,1.0
58,21000000.0,operating,NY,New York City,3,2013-05-14,2015-06-09,1,378.0,7000000.0,Curated_Web,8.0
60,26898770.0,operating,CA,SF Bay Area,10,2008-01-01,2015-08-10,1,308.0,2689877.0,Web_Hosting,13.0
61,42980577.0,operating,MI,Kalamazoo,7,2012-01-04,2015-11-12,1,234.0,6140082.428571428,Biotechnology,4.0
63,2518000.0,operating,WI,Madison,4,2013-01-04,2015-04-27,1,281.0,629500.0,0_other_cat,8.0
64,17087500.0,operating,CA,SF Bay Area,3,2009-12-22,2014-06-10,1,815.0,5695833.333333333,Curated_Web,9.0
65,4439407.0,operating,PA,Philadelphia,6,2011-05-01,2015-04-23,1,290.0,739901.1666666666,Curated_Web,2.0
66,7618249.0,operating,OR,"Portland, Oregon",3,2008-11-26,2009-07-16,1,116.0,2539416.3333333335,Curated_Web,1.0
67,2810000.0,operating,KS,Kansas City,3,2012-12-05,2014-11-26,1,360.0,936666.6666666666,Health_and_Wellness,4.0
68,28364818.0,operating,TN,Knoxville,10,2009-10-06,2014-04-07,1,182.0,2836481.8,Health_Care,7.0
69,17800000.0,operating,CA,SF Bay Area,4,2007-11-02,2013-09-26,1,718.0,4450000.0,Social_Media,10.0
71,25000.0,operating,PA,Pittsburgh,3,2012-02-10,2015-01-14,1,534.0,25000.0,Health_Care,3.0
72,49300000.0,operating,WA,Seattle,3,2003-05-22,2007-08-03,1,767.0,16433333.333333334,0_other_cat,17.0
75,3020000.0,operating,OH,"Columbus, Ohio",3,2011-06-01,2013-06-13,1,371.0,1006666.6666666666,Software,4.0
77,24250000.0,operating,CA,Los Angeles,3,2006-11-07,2011-01-05,1,760.0,8083333.333333333,Mobile,5.0
79,33331814.0,operating,CA,SF Bay Area,3,2010-09-15,2014-03-18,1,640.0,11110604.666666666,Semiconductors,1.0
80,96244444.0,operating,PA,Philadelphia,6,2007-02-01,2015-07-16,1,617.0,16040740.666666666,Health_Care,9.0
81,34072000.0,operating,CA,SF Bay Area,4,2004-08-09,2008-03-01,1,433.0,8518000.0,Finance,12.0
84,67000000.0,operating,NC,Charlotte,4,2012-12-11,2013-08-01,1,77.0,22333333.333333332,0_other_cat,5.0
85,32655000.0,operating,MI,Detroit,8,2005-03-01,2010-10-19,1,294.0,4081875.0,Biotechnology,17.0
87,24980307.0,operating,CA,Los Angeles,6,2008-08-01,2014-08-08,1,439.0,4163384.5,Advertising,14.0
88,54300000.0,operating,CA,San Diego,3,2009-10-08,2013-10-09,1,731.0,18100000.0,Clean_Technology,13.0
91,31960000.0,operating,CA,Anaheim,4,2012-06-01,2015-04-15,1,349.0,7990000.0,Mobile,12.0
92,15000000.0,operating,TX,Houston,4,2010-11-03,2014-07-01,1,445.0,5000000.0,Clean_Technology,7.0
93,26980000.0,operating,CA,SF Bay Area,6,2008-05-06,2010-06-11,1,153.0,4496666.666666667,Health_and_Wellness,1.0
94,72500000.0,operating,OR,"Portland, Oregon",5,2010-08-27,2014-04-15,1,331.0,14500000.0,Software,16.0
95,25000.0,operating,PA,Pittsburgh,4,2012-02-10,2013-09-22,1,196.0,25000.0,0_other_cat,4.0
96,950000.0,operating,IN,Indianapolis,3,2012-01-06,2015-06-29,1,635.0,950000.0,Health_Care,2.0
98,22500000.0,operating,MA,Boston,5,2004-08-01,2010-09-21,1,560.0,5625000.0,Enterprise_Software,6.0
100,10823112.0,operating,CA,SF Bay Area,3,2013-02-01,2014-09-02,1,289.0,5411556.0,Software,8.0
101,925000.0,operating,CA,Santa Barbara,3,2010-04-20,2013-05-16,1,561.0,308333.3333333333,Biotechnology,1.0
106,23300000.0,operating,WA,Seattle,4,2009-11-03,2014-10-21,1,604.0,11650000.0,SaaS,8.0
107,93000000.0,operating,AR,Fayetteville,3,2010-12-20,2013-04-07,1,419.0,31000000.0,E-Commerce,9.0
109,10000000.0,operating,CA,SF Bay Area,3,2011-08-01,2014-08-12,1,553.0,3333333.3333333335,Health_Care,3.0
110,63176464.0,operating,CA,San Diego,5,2011-08-08,2014-09-30,1,287.0,12635292.8,Biotechnology,5.0
111,7500000.0,operating,CA,Los Angeles,3,2009-10-20,2013-05-23,1,655.0,2500000.0,Social_Media,7.0
112,1185000.0,operating,MI,Detroit,3,2014-01-29,2015-05-07,1,231.0,395000.0,Advertising,4.0
113,8206660.0,operating,HI,Honolulu,6,2010-09-29,2015-04-06,1,330.0,1367776.6666666667,0_other_cat,3.0
114,13200000.0,operating,NY,New York City,4,2010-08-11,2012-05-09,1,212.0,4400000.0,Advertising,14.0
115,5954000.0,operating,MA,Boston,3,2009-10-27,2014-01-16,1,771.0,1984666.6666666667,Internet,2.0
116,22999999.0,operating,UT,Salt Lake City,3,2010-09-14,2014-01-09,1,606.0,7666666.333333333,Enterprise_Software,4.0
117,22500000.0,operating,CA,SF Bay Area,3,2005-09-16,2008-01-22,1,429.0,7500000.0,Cloud_Computing,9.0
118,30000000.0,operating,WA,Seattle,6,2007-12-05,2013-04-11,1,390.0,6000000.0,Software,17.0
119,67115160.0,operating,CA,SF Bay Area,5,2006-02-20,2015-09-14,1,873.0,16778790.0,Advertising,15.0
120,7250000.0,operating,MO,St. Louis,4,2013-04-17,2014-10-02,1,177.0,2416666.6666666665,Biotechnology,5.0
122,6800000.0,operating,TN,Nashville,3,2014-05-28,2015-05-15,1,176.0,3400000.0,Health_Care,5.0
123,14350000.0,operating,TX,Houston,4,2006-08-09,2013-09-04,1,861.0,3587500.0,0_other_cat,6.0
124,23000000.0,operating,MA,Boston,3,2012-03-13,2014-12-17,1,504.0,7666666.666666667,Mobile,7.0
126,328000.0,operating,MO,St. Louis,4,2012-09-19,2014-04-09,1,189.0,109333.33333333333,Advertising,3.0
128,45282384.0,operating,NH,"Manchester, New Hampshire",9,2007-07-16,2012-04-03,1,215.0,5660298.0,Biotechnology,16.0
129,355000.0,operating,CA,SF Bay Area,3,2009-01-01,2010-04-01,1,227.0,118333.33333333333,0_other_cat,8.0
131,28917736.2629051,operating,CA,SF Bay Area,4,2012-04-01,2015-10-21,1,432.0,9639245.333333334,Mobile,8.0
132,8802628.0,operating,CT,Hartford,4,2011-06-08,2015-09-16,1,520.0,2200657.0,Advertising,3.0
133,2150000.0,operating,NY,New York City,3,2014-08-25,2015-10-06,1,203.0,716666.6666666666,Curated_Web,15.0
135,340000.0,operating,CA,CA - Other,4,2012-05-23,2013-10-15,1,170.0,85000.0,Mobile,4.0
136,10000000.0,operating,CA,SF Bay Area,3,2012-10-16,2015-11-19,1,564.0,3333333.3333333335,Advertising,12.0
137,10500000.0,operating,CA,SF Bay Area,3,2014-04-03,2015-09-24,1,269.0,5250000.0,Advertising,12.0
138,3118000.0,operating,NY,New York City,4,2010-08-05,2014-03-10,1,437.0,1039333.3333333334,Advertising,12.0
140,32000000.0,operating,NC,Raleigh,3,2011-03-15,2014-12-08,1,682.0,10666666.666666666,Biotechnology,6.0
141,17060275.0,operating,MD,Baltimore,4,2005-01-14,2011-05-25,1,774.0,4265068.75,Biotechnology,6.0
142,14350000.0,operating,TN,Chattanooga,5,2011-09-29,2015-03-17,1,316.0,2870000.0,Health_Care,6.0
143,40800000.0,operating,CA,SF Bay Area,4,2009-09-03,2015-06-18,1,704.0,10200000.0,Biotechnology,8.0
144,17825489.0,operating,MO,St. Louis,4,2010-01-06,2015-07-29,1,676.0,4456372.25,Health_Care,4.0
145,36519878.0,operating,OR,"Portland, Oregon",11,2005-11-17,2014-07-30,1,317.0,3319988.909090909,Semiconductors,9.0
149,395000.0,operating,CA,SF Bay Area,3,2012-06-01,2013-07-31,1,212.0,131666.66666666666,E-Commerce,4.0
150,6700000.0,operating,IL,Chicago,3,2013-09-05,2015-07-13,1,338.0,2233333.3333333335,Advertising,10.0
151,7540560.0,operating,CA,SF Bay Area,3,2010-08-03,2012-07-01,1,349.0,2513520.0,Biotechnology,1.0
153,55367098.0,operating,CA,SF Bay Area,3,2011-05-25,2015-05-04,1,720.0,18455699.333333332,Biotechnology,9.0
154,3428750.0,operating,CO,Denver,4,2011-08-15,2015-11-23,1,520.0,857187.5,Software,1.0
155,68000000.0,operating,TX,Austin,3,2014-01-09,2015-03-23,1,219.0,22666666.666666668,Health_Care,10.0
157,97000000.0,operating,NY,New York City,4,2011-04-15,2014-01-07,1,332.0,24250000.0,0_other_cat,19.0
158,19500000.0,operating,NC,Raleigh,3,2012-07-12,2013-02-20,1,111.0,6500000.0,Biotechnology,1.0
160,15500000.0,operating,CA,SF Bay Area,4,2010-08-01,2015-07-14,1,602.0,7750000.0,Enterprise_Software,16.0
161,45400000.0,operating,NH,"Manchester, New Hampshire",3,2006-04-05,2011-08-01,1,972.0,15133333.333333334,Web_Hosting,6.0
162,22000000.0,operating,CA,SF Bay Area,3,2011-03-30,2014-06-24,1,591.0,11000000.0,Analytics,7.0
163,63000000.0,operating,OH,Cincinnati,4,2012-01-05,2014-04-23,1,279.0,15750000.0,Biotechnology,16.0
165,35668990.0,operating,PA,Pittsburgh,8,2005-11-30,2015-10-11,1,514.0,4458623.75,Health_Care,6.0
166,20224999.0,operating,MA,Boston,4,2010-02-01,2012-08-07,1,306.0,5056249.75,Analytics,6.0
167,89200000.0,operating,CA,SF Bay Area,7,2003-08-29,2015-07-08,1,721.0,12742857.142857144,Biotechnology,16.0
168,2900000.0,operating,WA,Seattle,3,2012-08-01,2015-05-31,1,516.0,1450000.0,Apps,1.0
169,1200000.0,operating,CA,Los Angeles,3,2014-01-06,2015-02-10,1,200.0,400000.0,Mobile,17.0
170,35500000.0,operating,NY,New York City,3,2011-07-27,2013-06-10,1,342.0,17750000.0,Finance,3.0
171,5540000.0,operating,CA,SF Bay Area,3,2004-12-01,2006-05-01,1,258.0,1846666.6666666667,Software,3.0
172,9850000.0,operating,MA,Boston,3,2009-10-01,2012-04-03,1,457.0,3283333.3333333335,SaaS,10.0
173,10200000.0,operating,AZ,Phoenix,3,2006-03-31,2011-09-01,1,990.0,5100000.0,Enterprise_Software,4.0
174,5235343.0,operating,GA,Atlanta,4,2001-12-14,2010-02-25,1,998.0,1308835.75,Software,5.0
175,22700000.0,operating,CA,SF Bay Area,4,2009-01-01,2014-09-23,1,697.0,5675000.0,SaaS,9.0
178,140000.0,operating,CA,Anaheim,4,2013-01-01,2015-03-15,1,267.0,35000.0,0_other_cat,1.0
179,18527468.0,operating,NJ,NJ - Other,7,2008-11-18,2015-03-11,1,384.0,2646781.1428571427,Enterprise_Software,11.0
180,800000.0,operating,PA,Philadelphia,3,2011-10-28,2015-03-23,1,621.0,400000.0,0_other_cat,4.0
181,30455361.0,operating,CA,SF Bay Area,6,2005-08-23,2014-05-13,1,637.0,5075893.5,Security,13.0
182,41000016.0,operating,CA,SF Bay Area,3,2011-01-01,2014-04-15,1,600.0,13666672.0,SaaS,8.0
183,9028626.0,operating,TN,Nashville,7,2012-09-01,2015-06-05,1,167.0,1289803.7142857143,Software,8.0
184,60250000.0,operating,OR,"Portland, Oregon",4,2009-04-30,2013-10-01,1,538.0,15062500.0,Clean_Technology,8.0
186,29000000.0,operating,CA,SF Bay Area,3,2014-07-01,2015-09-15,1,133.0,9666666.666666666,Mobile,6.0
187,4349999.0,operating,IL,"Springfield, Illinois",3,2014-04-23,2015-07-21,1,227.0,1449999.6666666667,0_other_cat,4.0
188,22999079.0,operating,NY,New York City,5,2011-07-27,2014-01-07,1,223.0,4599815.8,E-Commerce,6.0
189,52448530.0,operating,TX,Dallas,9,2007-05-29,2012-12-19,1,253.0,5827614.444444444,Mobile,11.0
191,18745880.0,operating,MA,Boston,4,2008-09-30,2015-04-03,1,792.0,4686470.0,Clean_Technology,3.0
192,16350000.0,operating,CA,San Diego,4,2005-07-15,2009-06-22,1,479.0,4087500.0,Mobile,6.0
194,65000000.0,operating,TX,San Antonio,4,2010-08-24,2014-08-26,1,487.0,21666666.666666668,Health_Care,6.0
195,33458625.0,operating,NY,New York City,4,2010-09-13,2012-06-11,1,212.0,8364656.25,Video,7.0
196,46999996.0,operating,TX,Dallas,6,2006-10-16,2011-07-25,1,348.0,7833332.666666667,Mobile,8.0
197,40420000.0,operating,CA,SF Bay Area,6,2012-05-01,2015-04-16,1,216.0,10105000.0,Enterprise_Software,17.0
198,9740000.0,operating,MO,St. Louis,5,2010-11-22,2013-09-04,1,254.0,1948000.0,Mobile,7.0
199,5200000.0,operating,IL,Chicago,3,2011-10-18,2013-08-08,1,330.0,2600000.0,Advertising,17.0
200,5500000.0,operating,CT,Hartford,3,2009-08-10,2011-04-13,1,305.0,1833333.3333333333,Education,1.0
201,4000000.0,operating,OR,"Portland, Oregon",3,2013-06-26,2014-08-08,1,204.0,1333333.3333333333,Analytics,4.0
202,21553364.0,operating,MO,St. Louis,7,2007-11-12,2013-10-21,1,361.0,3079052.0,Biotechnology,7.0
203,40624513.0,operating,MD,Hagerstown,10,2009-12-01,2015-04-22,1,218.0,4062451.3,Biotechnology,6.0
205,35250000.0,operating,PA,Pittsburgh,4,2002-10-17,2007-01-22,1,519.0,8812500.0,Semiconductors,8.0
207,2227000.0,operating,TX,Austin,4,2010-12-20,2014-05-15,1,414.0,742333.3333333334,Biotechnology,1.0
211,2100000.0,operating,CA,SF Bay Area,3,2013-10-23,2015-01-20,1,227.0,2100000.0,SaaS,12.0
213,6800004.0,operating,MA,Boston,3,2012-03-28,2014-01-15,1,329.0,2266668.0,Biotechnology,2.0
214,41997183.0,operating,CA,SF Bay Area,4,2012-05-08,2014-08-25,1,279.0,10499295.75,Biotechnology,8.0
215,11043722.0,operating,TN,Knoxville,3,2007-10-22,2012-06-01,1,842.0,3681240.6666666665,Software,9.0
216,1200000.0,operating,WA,Seattle,7,2008-07-10,2009-07-30,1,64.0,1200000.0,0_other_cat,8.0
217,12500000.0,operating,NY,New York City,3,2013-03-01,2015-04-14,1,387.0,6250000.0,0_other_cat,8.0
220,10065000.0,operating,MI,Detroit,5,2009-03-23,2015-03-31,1,549.0,3355000.0,Clean_Technology,8.0
222,22220043.0,operating,CA,SF Bay Area,3,2013-10-01,2015-05-20,1,298.0,7406681.0,SaaS,16.0
223,15458196.0,operating,UT,Salt Lake City,5,2006-08-03,2015-07-27,1,820.0,3864549.0,SaaS,9.0
224,27890167.0,operating,WI,Madison,3,2009-12-07,2012-01-31,1,392.0,9296722.333333334,E-Commerce,2.0
226,999500.0,operating,CA,Los Angeles,3,2014-01-30,2014-09-03,1,108.0,499750.0,Health_and_Wellness,2.0
227,29620000.0,operating,CA,SF Bay Area,3,2001-06-27,2006-06-22,1,910.0,9873333.333333334,Mobile,10.0
229,43000000.0,operating,TX,Dallas,4,2011-09-06,2014-10-30,1,383.0,10750000.0,Software,2.0
230,62449545.0,operating,CA,SF Bay Area,3,2014-08-27,2015-03-25,1,105.0,20816515.0,Biotechnology,12.0
234,11587263.0,operating,CA,SF Bay Area,3,2009-08-07,2011-08-15,1,369.0,3862421.0,Biotechnology,1.0
235,46988259.0,operating,MA,Boston,5,2008-07-02,2012-04-02,1,342.0,9397651.8,Biotechnology,5.0
236,36902500.0,operating,WA,Seattle,4,2005-12-06,2013-04-05,1,892.0,9225625.0,Biotechnology,9.0
237,2879987.0,operating,CA,SF Bay Area,5,2010-09-01,2013-04-01,1,235.0,719996.75,0_other_cat,6.0
238,4015000.0,operating,IL,Carthage,3,2010-06-01,2012-08-17,1,404.0,1338333.3333333333,Finance,8.0
240,3300000.0,operating,GA,Atlanta,4,2012-06-19,2015-10-01,1,399.0,1100000.0,E-Commerce,1.0
241,1244661.10413519,operating,CA,SF Bay Area,3,2014-02-19,2015-10-19,1,303.0,414887.0,0_other_cat,8.0
242,31000000.0,operating,CA,SF Bay Area,4,2010-05-03,2013-03-11,1,347.0,7750000.0,Clean_Technology,10.0
243,4269000.0,operating,CA,SF Bay Area,6,2008-02-01,2015-09-15,1,556.0,711500.0,Internet,3.0
244,34600000.0,operating,NJ,NJ - Other,3,2005-09-01,2010-01-04,1,793.0,11533333.333333334,Web_Hosting,6.0
247,475000.0,operating,MD,"Washington, D.C.",4,2012-09-11,2013-01-31,1,47.0,118750.0,Games,1.0
248,50310333.0,operating,CA,SF Bay Area,7,2007-04-09,2015-07-30,1,505.0,7187190.428571428,Health_Care,10.0
250,42200000.0,operating,CO,Denver,4,2010-12-01,2015-04-16,1,532.0,10550000.0,Advertising,7.0
253,829234.0,operating,WI,Madison,3,2015-02-01,2015-09-17,1,114.0,276411.3333333333,0_other_cat,2.0
254,76241743.0,operating,PA,Pittsburgh,8,2009-10-01,2015-05-12,1,292.0,9530217.875,Biotechnology,17.0
256,19955000.0,operating,MA,Boston,3,2015-01-09,2015-07-27,1,99.0,6651666.666666667,Biotechnology,1.0
257,5184434.0,operating,MI,Detroit,5,2011-01-01,2015-06-15,1,406.0,1296108.5,Software,10.0
259,53300000.0,operating,NH,"Manchester, New Hampshire",5,2002-01-07,2012-01-30,1,918.0,10660000.0,Semiconductors,15.0
260,10257000.0,operating,MA,Boston,5,2006-01-01,2008-09-16,1,247.0,2051400.0,Mobile,12.0
261,36958609.0,operating,MI,Detroit,9,2010-07-01,2015-05-29,1,224.0,4106512.111111111,Semiconductors,17.0
262,50000000.0,operating,MA,Boston,3,2011-05-01,2014-04-30,1,547.0,25000000.0,Clean_Technology,9.0
263,23466222.0,operating,NY,"Rochester, New York",5,2007-11-28,2015-07-31,1,700.0,4693244.4,0_other_cat,3.0
265,5519437.0,operating,TN,Nashville,4,2011-12-09,2013-03-01,1,149.0,1379859.25,0_other_cat,8.0
272,26400000.0,operating,CA,SF Bay Area,3,2014-04-08,2015-10-20,1,280.0,13200000.0,Health_Care,5.0
273,13037350.0,operating,WA,Seattle,3,2005-08-29,2009-07-29,1,715.0,4345783.333333333,0_other_cat,5.0
274,7265271.0,operating,CA,San Diego,3,2006-12-06,2011-05-02,1,804.0,2421757.0,Biotechnology,4.0
276,15589114.0,operating,MI,Detroit,4,2010-01-10,2015-05-20,1,652.0,3897278.5,Technology,7.0
277,6706000.0,operating,TN,Nashville,3,2012-09-01,2013-09-01,1,182.0,2235333.3333333335,Health_Care,4.0
279,11000000.0,operating,CA,SF Bay Area,4,2012-01-01,2015-08-05,1,328.0,16693153.666666666,SaaS,15.0
280,15980000.0,operating,CO,Denver,4,2009-11-01,2012-10-11,1,358.0,3995000.0,0_other_cat,2.0
283,39400000.0,operating,CA,SF Bay Area,3,2005-06-30,2009-08-17,1,754.0,13133333.333333334,Semiconductors,14.0
284,38550000.0,operating,IL,Chicago,5,2008-10-31,2012-07-25,1,340.0,7710000.0,Health_Care,8.0
